"ITEM","DMDUNIT","MAX_DATE","BASEPRICE","LOC","SPZONE","PMZONE","U_COUNTRY"
"129691885","129691884_NOCOLOUR",02-APR-22,3.664,"308630003","7_79","8_252","OMN"
"129691885","129691884_NOCOLOUR",02-APR-22,3.664,"307390003","7_79","8_252","OMN"
"129691885","129691884_NOCOLOUR",02-APR-22,3.664,"307490003","7_79","8_252","OMN"
"220100356","220000005_NOCOLOUR",01-MAR-22,1.2,"308630003","7_79","8_252","OMN"
"220100356","220000005_NOCOLOUR",01-MAR-22,1.2,"307390003","7_79","8_252","OMN"
"220100356","220000005_NOCOLOUR",01-MAR-22,1.2,"307490003","7_79","8_252","OMN"
"220108249","220000110_NOCOLOUR",28-DEC-18,1.73,"308630003","7_79","8_252","OMN"
"220108249","220000110_NOCOLOUR",28-DEC-18,1.73,"307390003","7_79","8_252","OMN"
"220108249","220000110_NOCOLOUR",28-DEC-18,1.73,"307490003","7_79","8_252","OMN"
"220101333","220000114_NOCOLOUR",28-DEC-18,9.63,"308630003","7_79","8_252","OMN"
"220101333","220000114_NOCOLOUR",28-DEC-18,9.63,"307390003","7_79","8_252","OMN"
"220101333","220000114_NOCOLOUR",28-DEC-18,9.63,"307490003","7_79","8_252","OMN"
"220111203","220000171_NOCOLOUR",28-DEC-18,4.53,"308630003","7_79","8_252","OMN"
"220111203","220000171_NOCOLOUR",28-DEC-18,4.53,"307390003","7_79","8_252","OMN"
"220111203","220000171_NOCOLOUR",28-DEC-18,4.53,"307490003","7_79","8_252","OMN"
"220122307","220000252_NOCOLOUR",01-MAR-22,0.1,"308630003","7_79","8_252","OMN"
"220122307","220000252_NOCOLOUR",01-MAR-22,0.1,"307390003","7_79","8_252","OMN"
"220122307","220000252_NOCOLOUR",01-MAR-22,0.1,"307490003","7_79","8_252","OMN"
"220115743","220000377_NOCOLOUR",01-MAR-22,0.6848,"308630003","7_79","8_252","OMN"
"220115743","220000377_NOCOLOUR",01-MAR-22,0.6848,"307390003","7_79","8_252","OMN"
"220115743","220000377_NOCOLOUR",01-MAR-22,0.6848,"307490003","7_79","8_252","OMN"
"220121782","220000500_NOCOLOUR",01-MAR-22,3.15,"308630003","7_79","8_252","OMN"
"220121782","220000500_NOCOLOUR",01-MAR-22,3.15,"307390003","7_79","8_252","OMN"
"220121782","220000500_NOCOLOUR",01-MAR-22,3.15,"307490003","7_79","8_252","OMN"
"220114510","220000536_NOCOLOUR",01-MAR-22,0.525,"308630003","7_79","8_252","OMN"
"220114510","220000536_NOCOLOUR",01-MAR-22,0.525,"307390003","7_79","8_252","OMN"
"220114510","220000536_NOCOLOUR",01-MAR-22,0.525,"307490003","7_79","8_252","OMN"
"220110324","220000537_NOCOLOUR",01-MAR-22,0.5,"308630003","7_79","8_252","OMN"
"220110324","220000537_NOCOLOUR",01-MAR-22,0.5,"307390003","7_79","8_252","OMN"
"220110324","220000537_NOCOLOUR",01-MAR-22,0.5,"307490003","7_79","8_252","OMN"
"220120850","220000546_NOCOLOUR",28-DEC-18,0.54,"308630003","7_79","8_252","OMN"
"220120850","220000546_NOCOLOUR",28-DEC-18,0.54,"307390003","7_79","8_252","OMN"
"220120850","220000546_NOCOLOUR",28-DEC-18,0.54,"307490003","7_79","8_252","OMN"
"220114366","220000551_NOCOLOUR",01-MAR-22,15.225,"308630003","7_79","8_252","OMN"
"220114366","220000551_NOCOLOUR",01-MAR-22,15.225,"307390003","7_79","8_252","OMN"
"220114366","220000551_NOCOLOUR",01-MAR-22,15.225,"307490003","7_79","8_252","OMN"
"220112575","220000552_NOCOLOUR",01-MAR-22,0.525,"308630003","7_79","8_252","OMN"
"220112575","220000552_NOCOLOUR",01-MAR-22,0.525,"307390003","7_79","8_252","OMN"
"220112575","220000552_NOCOLOUR",01-MAR-22,0.525,"307490003","7_79","8_252","OMN"
"220116671","220000553_NOCOLOUR",01-MAR-22,0.525,"308630003","7_79","8_252","OMN"
"220116671","220000553_NOCOLOUR",01-MAR-22,0.525,"307390003","7_79","8_252","OMN"
"220116671","220000553_NOCOLOUR",01-MAR-22,0.525,"307490003","7_79","8_252","OMN"
"220119109","220000560_NOCOLOUR",01-MAR-22,0.105,"308630003","7_79","8_252","OMN"
"220119109","220000560_NOCOLOUR",01-MAR-22,0.105,"307390003","7_79","8_252","OMN"
"220119109","220000560_NOCOLOUR",01-MAR-22,0.105,"307490003","7_79","8_252","OMN"
"220104551","220000569_NOCOLOUR",30-DEC-21,1.5,"308630003","7_79","8_252","OMN"
"220104551","220000569_NOCOLOUR",30-DEC-21,1.5,"307390003","7_79","8_252","OMN"
"220104551","220000569_NOCOLOUR",30-DEC-21,1.5,"307490003","7_79","8_252","OMN"
"220108478","220000581_NOCOLOUR",01-MAR-22,1.55,"308630003","7_79","8_252","OMN"
"220108478","220000581_NOCOLOUR",01-MAR-22,1.55,"307390003","7_79","8_252","OMN"
"220108478","220000581_NOCOLOUR",01-MAR-22,1.55,"307490003","7_79","8_252","OMN"
"220092399","220000595_NOCOLOUR",01-MAR-22,0.5,"308630003","7_79","8_252","OMN"
"220092399","220000595_NOCOLOUR",01-MAR-22,0.5,"307390003","7_79","8_252","OMN"
"220092399","220000595_NOCOLOUR",01-MAR-22,0.5,"307490003","7_79","8_252","OMN"
"220195672","220000603_NOCOLOUR",16-APR-21,9.45,"308630003","7_79","8_252","OMN"
"220195672","220000603_NOCOLOUR",16-APR-21,9.45,"307390003","7_79","8_252","OMN"
"220195672","220000603_NOCOLOUR",16-APR-21,9.45,"307490003","7_79","8_252","OMN"
"220124252","220001893_NOCOLOUR",17-NOV-20,7.06,"308630003","7_79","8_252","OMN"
"220124252","220001893_NOCOLOUR",17-NOV-20,7.06,"307390003","7_79","8_252","OMN"
"220124252","220001893_NOCOLOUR",17-NOV-20,7.06,"307490003","7_79","8_252","OMN"
"220098638","220002162_NOCOLOUR",01-MAR-22,8,"308630003","7_79","8_252","OMN"
"220098638","220002162_NOCOLOUR",01-MAR-22,8,"307390003","7_79","8_252","OMN"
"220098638","220002162_NOCOLOUR",01-MAR-22,8,"307490003","7_79","8_252","OMN"
"220095080","220002711_NOCOLOUR",28-DEC-18,3.5,"308630003","7_79","8_252","OMN"
"220095080","220002711_NOCOLOUR",28-DEC-18,3.5,"307390003","7_79","8_252","OMN"
"220095080","220002711_NOCOLOUR",28-DEC-18,3.5,"307490003","7_79","8_252","OMN"
"220103958","220002712_NOCOLOUR",28-DEC-18,7,"308630003","7_79","8_252","OMN"
"220103958","220002712_NOCOLOUR",28-DEC-18,7,"307390003","7_79","8_252","OMN"
